Area,Course #,Sec #,Course Title,Instructor,Time,Location,Credits,Enroll Limits,Registration Notes,Curriculum Notes
AHS,AHSE0112,01,The Olin Conductorless Orchestra,Dabby,R 6:45-9:00pm,AC318 AC328,1,n/a,,
AHS,AHSE2112,01,Six Books that Changed the World,Martello,TF 10:50-12:30pm,AC417,2,24,Session I: 1/2 Session Offering,
AHS,AHSE2114,01,SciFi and Historical Context,Martello,TF 10:50-12:30pm,AC417,2,24,Session II: 1/2 Session Offering,
AHS,AHSE3190,01,Arts Humanities Social Sciences Capstone Preparatory Workshop,Epstein,n/a,n/a,1,n/a,,"required if planning on a Capstone
project in Fall 2018"
AHS,AHSE4190,01,Arts Humanities Social Sciences Capstone Project,Epstein,M 9:10-10:40am,AC417,4,28,,
Crosslisted,AHSE2199 or ENGR2299,01,Special Topics in AHS or Design Engineering: Tell the Story of What You Make,Sauder,MR 1:30-4:10pm,AC306,4,24,"choose either AHSE or ENGR credit at time of registration; small
waitlist available",
Crosslisted,ENGR3299 OR SCI2299,01,Special Topics in Design Engineering or Biological Sciences: Biomimicry,"Linder, Huang",TF1:30-3:10pm,AC213,4,24,"Register for ENGR3299 as design depth or SCI2299 as Advanced Bio;
small waitlist",Available for Design Depth or Upper Level Bio; requires UOCD prereq and foundational bio; sataisfies elective in Sust Cert
Design,ENGR2250,01,User-Oriented Collaborative Design,"Linder, Sarang- Sieminski, Hersey, TBD",MR 9:50-12:30pm,AC204 MH120,4,32,waitlist available,required for all sophomores
Design,ENGR2250,02,User-Oriented Collaborative Design,"Linder, Sarang- Sieminski, Hersey, TBD",MR 9:50-12:30pm,AC206 MH120,4,32,waitlist available,required for all sophomores
Design,ENGR2250,03,User-Oriented Collaborative Design,"Linder, Sarang- Sieminski, Hersey, TBD",MR 9:50-12:30pm,AC209 MH120,4,32,waitlist available,required for all sophomores
Design,ENGR3290,01,Affordable Design and Entrepreneurship,"Linder, Hersey, Bida",T 3:30-6:30pm; R 3:30-5:30pm,AC213,4,15,"Register for this course as design
depth; waitlist available",Design Depth
Design,ENGR3299A,01,"Special Topics in Design Engineering: Technology, Accessibility and Design","Ruvolo, Lynch",M 9-12:30pm; R 10:50- 12:30pm,AC309,4,30,waitlist available,Design Depth
Design,ENGR3299B,01,Special Topics in Design Engineering: Return Design,Sauder,R 10:50-12:30pm + add'l studio time,n/a,4,7,Permission of Instructor req'd; not available for open registration,Design Depth; limited enrollment
Design,ENGR3299C,01,Special Topics in Design Engineering: Quantitative Engineering Design,Lee,MR 10:50-12:30pm,AC328,4,20,,"Design Depth OR ME elective; but not both; This offering is tentative
based on enrollment."
E:Bio,ENGR3610,01,Biomedical Materials,Chachra,MR 10:50-12:30pm,AC406 AC409 AC417,4,18,,"ME Depth, E Bio Elective"
E:C,ENGR2510,01,Software Design,"Millner, Hill, Ruvolo",TF 1:30-3:10pm,AC326,4,30,waitlist available,
E:C,ENGR2510,02,Software Design,"Millner, Hill, Ruvolo",TF 1:30-3:10pm,AC328,4,30,waitlist available,
E:C,ENGR3525,01,Software Systems,Downey,TF 9-10:40am,AC326,4,25,limited waitlist,
Area,Course #,Sec #,Course Title,Instructor,Time,Location,Credits,Enroll Limits,Registration Notes,Curriculum Notes
E:C,ENGR3599,01,Special Topics in Computing: Computer Networks,Morrow,"TF 10:50-12:30pm; W 7-10pm
lab",AC428,4,28,,
E:C,ENGR3599A,01,Special Topics in Computing: Hacking the Library,Steele,MR 3:20-5:00pm,Library,4,20,small waitlist available,
E:C,ENGR3599B,01,Special Topics in Computing: Programming Languages,Pucella,R 1:30-4:00pm,AC128,4,30,small waitlist available,
E:Robo,ENGR3392,01,Robotics Systems Integration,Barrett,TF 10:50-12:30pm,AC128,4,30,small waitlist available,
ECE,ENGR2410,01,Signals and Systems,Mur-Miranda,TF 10:50-12:30pm,AC304,4,28,,
ECE,ENGR2420,01,Intro Microelectronic Circuits with Lab,Minch,TF 1:30-3:10pm; F 9-10:40am,AC309,4,28,small waitlist available,
ENGR,ENGR1330,01,Fundamentals of Machine Shop Operations,Andruskiewicz,W 12:30-4:30pm,AC104,4,6,,
ENGR,ENGR2199,01,Special Topics in Engineering : DREAM Designing Resources for Empowerm,Millner,W 1-3:10pm + add'l proj times (see registration note column for details),AC213,4,28,additional project time/week required: students will schedule an additional weekly 60-90 min work session w/ instructors outside of the standard W meeting,
ENGR,ENGR2199A,01,Special Topics in Engineering : Temporary Autonomous Infrastructural Research Group,Chachra,MR 10:50-12:30p,AC417,4,15,Offered using Experimental Grading,
