Area,Course #,Sect #,Course Title,Instructor / Teaching Team,Time,Delivery Mode,Credits,Enroll Limits,Waitlist,Notes,Curriculum Category
AHS,AHSE0112,01,AHSE0112: The Olin Conductorless Orchestra: Building a Community of Practice,"Dabby, Diana",R 6-8pm,Fully Remote,1,no cap,no,New Description available in the Supplement,AHS Elective
AHS,AHSE2199A,01,"AHSE2199A: Special Topics in Arts, Humanities and Social Science: Democracy in Action: Election2020","Lynch, Caitrin; Martello, Rob",Tues & Fri 10-11:30am,Fully Remote,4,no cap,no,Experimental Grading,AHS Elective
AHS,AHSE2199B,01,"AHSE2199B: Special Topics in Arts, Humanities and Social Science: Weaving the Future: New Ideologies of Making","Keizer, Arlene",MW 2-3:30pm,Fully Remote,4,35,yes,,AHS Elective
AHS,AHSE2199C,01,"AHSE2199C: Special Topics in Arts, Humanities and Social Science:  Connecting with Stories","Adler, Jon; Epstein, Gillian",TR 10-11:30am,Fully Remote,4,20,yes,NEW; offered with Experimental Grading; some work may be required during ext lunch block,AHS Elective
AHS,AHSE3190,01,"AHSE3190: Arts, Humanities, Social Science Prepstone","Epstein, Gillian",n/a,Fully Remote,1,50,n/a,,AHS Capstone Prereq
CAPSTONE,ENGR4190,01,ENGR4190: SCOPE: Senior Capstone Program in Engineering,"Ferzoco, Alessandra; Hersey, Scott; Sarang- Sieminski, Alisha; Stein, Lynn; Woodard, Jason",TR 8-10am; F 12-5pm,Faculty Remote,4,90,n/a,Registration handled by Capstone Program,CAPSTONE
CAPSTONE,ENGR4290,01,ENGR4290: Affordable Design and Entrepreneurship Engineering Capstone,"Graeff, Erhardt; Hersey, Scott; Linder, Ben; Taha, Kofi, Johansen, Elizabeth",T 3:30-6:30pm; R 3:30-5:30pm,Faculty Remote,4,15,"yes, small",Registration handled by Capstone Program,CAPSTONE
DSN,ENGR2299,01,ENGR2299:  Special Topics in Design Engineering: Creativity Practicum,"Hendren, Sara",TR 2-3:30pm,Faculty Remote,4,24,yes,New,ELECTIVE
DSN,ENGR3220,01,ENGR3220: User Experience Design,"Morales, Marco",MW 4-5:30pm,Fully Remote,4,28,"yes, small",,DSN Depth
DSN,ENGR3240,01,ENGR3240: Tell the Story of What You Make,"Ferguson Sauder, Tim",MW 9-11:30am,Fully Remote,4,30,"yes, small",,DSN Depth
