Area,Course #,Sect #,Course Title,Instructor / Teaching Team,Time,"Location: MAC
(unless noted
otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Role
CAPSTONE,ENGR4599,01,ENGR4599: Senior Capstone Alternative: Entrepeneurial Engineering Capstone,"Harris, Scott; Miller, Scott",W 1-5:00pm,126,4,N/A,N/A,Students will be pre-registered based on FA22 enrollment,CAPSTONE
Cross-listed,"ENGR3235_or
_SCI2235",01,ENGR3235_or_SCI2235: Biomimicry,"Huang, Jean; Linder, Benjamin",TF 1:00pm-2:40pm,213,4,24,6,,DSN Depth or Adv Bio
Cross-listed,SCI2235_or_E NGR3235,01,SCI2235_OR_ENGR3235: Biomimicry,"Huang, Jean; Linder, Benjamin",TF 1:00pm-2:40pm,213,4,24,6,,Adv Bio or Dsn Depth
(unless noted
otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Role
DSN,ENGR2250,01-03,ENGR2250: Collaborative Design,"Adler, Jonathan; Bloomer, Sarah; Chachra, Debbie; Hendren, Sara; Linder, Benjamin; Zastavker, Yevgeniya",MR 1:00pm-3:30pm,"204
206
209",4,96,10,Formerly UOCD,DESIGN Fnd
DSN,ENGR3240,01,ENGR3240: Tell the Story of What You Make,"Ferguson Sauder, Tim",MR 1:00-3:30pm,417,4,25,5,,DESIGN Dpth
DSN,ENGR3290,01,ENGR3290: Affordable Design and Entrepreneurship,"Graeff, Erhardt; Johansen, Elizabeth; Linder, Benjamin; Majluf, Francesca; Taha, Kofi",T 3:30-6:30pm R 3:30-5:30pm,Weissman Foundry,4,10,10,,DESIGN Dpth
E:C,ENGR2510,01,ENGR2510: Software Design,"Graeff, Erhardt; Matsumoto, Steve; Millner, Amon",TF 10:20am-12:00pm,417,4,25,5,,Core E:C/Core ECE
E:C,ENGR2510,02,ENGR2510: Software Design,"Graeff, Erhardt; Matsumoto, Steve; Millner, Amon",TF 1:00pm-2:40pm,318,4,25,5,,Core E:C/Core ECE
E:C,ENGR2510,03,ENGR2510: Software Design,"Graeff, Erhardt; Matsumoto, Steve; Millner, Amon",TF 1:00pm-2:40pm,326,4,25,5,,Core E:C/Core ECE
E:C,ENGR3520,01,ENGR3520: Foundations of Computer Science,"Pucella, Riccardo",M 6:00pm-8:40pm,126,4,30,5,,Core E:C
E:C,ENGR3525,01,ENGR3525: Software Systems,"Matsumoto, Steve",TF 2:50pm-4:30pm,326,4,35,5,,Core E:C
E:C,ENGR3599,01,ENGR3599: Special Topics in Computing: Scientific Computing,"Nugent, Carrie",MR 1:00pm-2:40pm,318,4,16,5,,"Core E:C; Computing
Elective"
E:C,ENGR3599A,SL,ENGR3599A-SL: Special Topics in Computing: Advanced Algorithms,"Ruvolo, Paul (content advisor);
Student instructors: Aher, Gati; Coleman, Sam; McGinnis, Zoe",MR 6:00pm-7:40pm,326,4,15,10,Student led course,Computing Elective
E:ROBO,ENGR3390,01,ENGR3390: Fundamentals of Robotics,"Barrett, Dave; Mbanisi, Kene",TF 1:00pm-2:40pm,128,4,30,10,,"Core E:Robo_ME
Elective"
E:ROBO,ENGR3392,01,ENGR3392: Robotics Systems Integration,"Malley, Melinda; Mbanisi, Kene",TF 2:50pm-4:30pm,306,4,24,5,,"Core E:Robo_ME
Elective"
(unless noted
otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Role
ECE,ENGR2420,01,ENGR2420: Intro Microelectronic Circuits with laboratory,"Minch, Brad","MR 8:30am-10:10am
M 3:40pm-5:20pm (Lab)",309,4,30,5,,Core ECE
ECE,ENGR3499,01,ENGR3499: Special Topics in Electrical & Computer Engineering: Introduction to Power Electronics,"Arnet, Beat",MR 10:20am-12:00pm,309,4,20,5,,ECE Elective
ECE,ENGR3499A,01,ENGR3499A: Special Topics in Electrical & Computer Engineering: Satellite Systems,"Lohmeyer, Whitney",T 6:00pm-8:40pm,126,4,20,10,,"ECE Elective; or ME
Elective"
ENGR,ENGR1330,01,ENGR1330: Fundamentals of Machine Shop Operations,"Mulligan, John",W 10:00am-12:00pm W 1:00pm-3:30pm,Machine Shop,4,6,6,,ELECTIVE
ENTRP,AHSE1515,01,AHSE1515: Products and Markets,"Bloomer, Sarah; Ger, Donald; Pratt, Joanne; Sauder, Tim",MR 9:20am-12:00pm,"MH120 318
326
328",4,92,N/A,,ENTRP Fnd
ENTRP,AHSE2515,01,AHSE2515: Iterate,"Neeley, Lawrence",TF 10:20am-12:00pm,126,4,25,10,,ENTRP
FYR,ENGR1125,01,"ENGR1125: Introduction to Sensors, Instrumentation and Measurement","Goenka, Chhavi; Minch, Brad; Neely, Andy; Vanasupa, Linda",MR 2:50pm-4:30pm,428,4,25,5,,Required ENGR
FYR,ENGR1125,02,"ENGR1125: Introduction to Sensors, Instrumentation and Measurement","Goenka, Chhavi; Minch, Brad; Neely, Andy; Vanasupa, Linda",TF 8:30am-10:10am,428,4,25,5,,Required ENGR
FYR,ENGR1125,03,"ENGR1125: Introduction to Sensors, Instrumentation and Measurement","Goenka, Chhavi; Minch, Brad; Neely, Andy; Vanasupa, Linda",TF 10:20am-12:00pm,428,4,25,5,,Required ENGR
FYR,ENGR1125,04,"ENGR1125: Introduction to Sensors, Instrumentation and Measurement","Goenka, Chhavi; Minch, Brad; Neely, Andy; Vanasupa, Linda",TF 2:50pm-4:30pm,428,4,25,5,,Required ENGR
Interdisciplinary,CIE2223E,01,CIE2223E: Curriculum Innovation Prototype: Environmental Consulting at Olin,"Nugent, Carrie; Rodgers, Claire",TF 10:20am-12:00pm,326,4,16,5,Previous students can enroll again- this is a class that can be taken multiple times.,"E:Sust Adv; Design Depth; alternative for
Mat Sci"
Interdisciplinary,CIE2223M,01,CIE2223M: Curriculum Innovation Prototype: K12 Outreach: Mathematics and Engineering for Everyone,"Adams, Sarah; Martello, Rob; Somerville, Mark",MR 8:30am-10:10am,126,4,30,20,"Students must also elect one lab session: Lab A: M 3:31PM-5:30PM
Lab B: W 3:31pm-5:30pm",Varied
Interdisciplinary,CIE_MEE,A or B,CIE_MEE: Curriculum Innovation Prototype: K12 Outreach: Mathematics and Engineering for Everyone,"Adams, Sarah; Martello, Rob; Somerville, Mark",Lab A: M 3:31pm-5:30pm Lab B: W 3:31pm-5:30pm,NA,NA,15,10,Students must also enroll in CIE2223M,
(unless noted
otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Role
Interdisciplinary,CIE2223P,01,CIE2223P: Curriculum Innovation Prototype: Social Technology Enterprise with Purpose (STEP),"Ferzoco, Alessandra; Ruvolo, Paul",T 9:00am-12:00pm F 10:20am-12:00pm,218,12,18,6,"Experimental Grading
Students must also elect one lab session: Lab A: MR 1:00pm-2:40pm
Lab B: TF 2:50pm-4:30pm","TBD / Interdisciplinary -
Talk to us about
crediting"
Interdisciplinary,CIE_STEP,A or B,CIE_STEP: Curriculum Innovation Prototype: Social Technology Enterprise with Purpose (STEP),"Ferzoco, Alessandra; Ruvolo, Paul",Lab A: MR 1:00pm-2:40pm Lab B: TF 2:50pm-4:30pm,218,NA,9,,Must be taken with CIE2223P,
Interdisciplinary,ENGR2340,01,ENGR2340: Engineering Systems Analysis: Dynamics (2 cr),"Lee, Chris; Sommerville, Mark",MR 10:20am-12:00pm,"113
126",2,32,10,"Session II
must be taken with ENGX2134",Core ME
Interdisciplinary,ENGR2410,01,ENGR2410: Engineering Systems Analysis: Signals (2 cr),"Goenka, Chhavi",TF 1:00pm-2:40pm,304,2,30,5,"Session II
must be taken with ENGX2134",Core ECE
Interdisciplinary,ENGR3531_M TH2131,01,ENGR3531_MTH2131: Data Science,"del Rosario, Zachary",MR 3:40pm-5:20pm,113,2+2,30,5,,"ProbStat Requirement_E:C
elective"
Interdisciplinary,ENGX2005,01,ENGX2005: Quantitative Engineering Analysis 2,"Geddes, John; Malley, Melinda; Shuman, David",MR 1:00pm-2:40pm,"113
126
128",4,92,N/A,,Required ENGR
Interdisciplinary,ENGX2134,01,ENGX2134: Engineering Systems Analysis (2cr),"Goenka, Chhavi; Lee, Chris; Sommerville, Mark",MR 10:20am-12:00pm,"113
126
128",2,60,5,Session I,"Requirement - ME, ECE"
ME,ENGR2320,01,ENGR2320: Mechanics of Solids & Structures,"Lee, Chris",MWR 8:30am-10:10am,113,4,35,5,,Core ME
ME,ENGR2330,01,ENGR2330: Introduction to Mechanical Prototyping,"Faas, Daniela",TF 2:50pm-4:30pm,128,4,40,10,,ELECTIVE
ME,ENGR3355,01,ENGR3355: Intermediate Thermodynamics,"Tow, Emily",TF 2:50pm-4:30pm,328,2,75,10,Session I,Core ME
ME,ENGR3365,01,ENGR3365: Intermediate Transport Phenomena,"Tow, Emily",TF 2:50pm-4:30pm,328,2,75,10,Session II,Core ME
ME,ENGR3370,01,ENGR3370: Controls,"Barragan, Patrick",T 9:00am‐12:00pm,328,4,24,10,CANCELLED,ME Elective/ECE Elective
MTH,MTH3120,01,MTH3120: Partial Differential Equations,"Geddes, John",MR 3:40pm-5:20pm,126,4,30,5,,ADV MATH
(unless noted
otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Role
SCI,SCI1199,01,SCI1199: Special Topics in Physics: Electricity and Magnetism,"Neely, Andy",MR 1:00pm-2:40pm,309,4,18,NA,,SCI Elective
SCI,SCI1250_AHS E2150,01,SCI1250_AHSE2150: Six Microbes that Changed the World with Laboratory,"Huang, Jean; Martello, Rob",MR 9:20am-12:00pm,"417
406",8,24,6,8 credit course,"SCI - Bio Foundation &
AHS Elective"
SCI,SCI1260_AHS E2160,01,"SCI1260_AHSE2160: The Intersection of Biology, Art and Technology","Donis-Keller, Helen",TF 9:20am-12:00pm,"313
406",8,20,5,8 credit course,"SCI - Bio Foundation &
AHS Elective"
SCI,SCI1320,01,SCI1320: Paper Panacea: Part I with Laboratory,"Vanasupa, Linda",MR 9:20am-12:00pm,"409
413",4,16,NA,,"SCI - MatSci Chem
Requirement"
SCI,SCI1410,01,SCI1410: Materials Science and Solid State Chemistry,"Neal, Matt",TR 6:00pm-8:40pm,413,4,21,10,,"SCI - MatSci Chem
Requirement"
SCI,SCI1440,01,"SCI1440 Materials Creation, Consumption, and Impact","Stolk, Jon",TF 9:20am-12:00pm,413,4,21,10,,"SCI - MatSci Chem
Requirement"
ADMIN,AWAY1000,01,AWAY1000: The Study Away Program,Administration,N/A,N/A,4,N/A,N/A,Enroll in this course if you will be studying away in the spring 2023 semester,
ADMIN,OIP1000,01,The Olin Internship Practicuum I,"Alcott, Suzanne",N/A,N/A,1,N/A,N/A,See Post Graduate Planning to Enroll,
ADMIN,OIP1001,01,The Olin Internship Practicuum II,"Alcott, Suzanne",N/A,N/A,1,N/A,N/A,See Post Graduate Planning to Enroll,
