Area,Course #,Sect #,Course Title,Instructor / Teaching Team,Time,Location,Credits,Enroll Limits,Waitlist,Notes,Curriculum Category
AHS,AHSE0112,01,AHSE0112: The Olin Conductorless Orchestra,"Dabby, Diana",T 7:30pm-9:00pm; R 6:30-9:00pm,AC318,1,26,"yes, small",,AHS Elective
AHS,AHSE2170,01,AHSE2170: Teaching and Learning in Undergraduate Education,"Zastavker, Yevgeniya; Burger, Jordyn",T 12:50-3:15pm; T 6:30pm-7:15pm,"CC209, 211
Crescent Room",4,15,"yes, large",,AHS Elective
AHS,AHSE2170,02,AHSE2170: Teaching and Learning in Undergraduate Education,"Zastavker, Yevgeniya; Burger, Jordyn",T 12:50-3:15pm; W 6:30pm-7:15pm,"CC209, 211
Crescent Room",4,15,"yes, large",,AHS Elective
AHS,AHSE3130,01,AHSE3130: Advanced Digital Photography,"Donis-Keller, Helen",TF 1:30-3:10pm,AC313,4,12,"yes, small",,AHS Elective
AHS,AHSE3190,01,"AHSE3190: Arts, Humanities, Social Science Prepstone","Epstein, Gillian",n/a,n/a,1,50,n/a,,AHS Capstone Prereq
CAPSTONE,ENGR4190,01,ENGR4190: SCOPE: Senior Capstone Program in Engineering,"Ferzoco, Alessandra; Hersey, Scott; Sarang- Sieminski, Alisha; Stein, Lynn",W 9-6:00pm,varies,4,90,n/a,,CAPSTONE
CAPSTONE,ENGR4290,01,ENGR4290: Affordable Design and Entrepreneurship Engineering Capstone,"Graeff, Erhardt; Hersey, Scott; Linder, Ben; Taha, Kofi, Johansen, Elizabeth",T 3:30-6:30pm; R 3:30-5:30pm,Weissman Foundry,4,15,"yes, small",,CAPSTONE
CAPSTONE,ENGR4599,01,ENGR4599: Entrepreneurial Engineering Capstone,"Harris, Scott; Woodard, Jason",W 1-5:30pm,AC318,4,by application only,n/a,"Interested Students should see Scott Harris and/or Jason
Woodard",Capstone
DSN,ENGR2299,01,ENGR2299:  Special Topics in Design Engineering:  Creativity Practicum,"Ferguson Sauder, Tim; Hendren, Sara","M 1:30-4:10pm; R 1:30-
3:10pm",AC309,4,24,"yes, small",,"Elective (can be taken
before UOCD)"
DSN,ENGR3220,01,ENGR3220: User Experience Design,"Millner, Amon",TF 1:30-3:10pm,AC213,4,28,"yes, small",,DSN Depth
DSN,ENGR3240,01,ENGR3240: Tell the Story of What you Make,"Ferguson Sauder, Tim",MR 9:50-12:30pm,AC309,4,25,"yes, small",,DSN Depth
DSN,ENGR3260,01,ENGR3260: Design for Manufacturing,"Barrett, Dave; Faas, Daniela",TF 10:50-12:30pm,AC128,4,20,"yes, large","Student must elect lab A OR B, not both along with the standard
TF 10:50-12:30pm time",ME Elective Design Depth
DSN,ENGR3260 L,A B,Design for Manufacturing LAB,"Barrett, Dave; Faas, Daniela","Lab A: M 1:30-4:10pm
Lab B: Tues 1:30-4:10pm",Machine Shop,0,10 in each Lab,"yes, large","Student must elect lab A OR B, not both along with the standard
TF 10:50-12:30pm time",
Area,Course #,Sect #,Course Title,Instructor / Teaching Team,Time,Location,Credits,Enroll Limits,Waitlist,Notes,Curriculum Category
DSN,ENGR3290,01,ENGR3290: Affordable Design and Entrepreneurship,"Graeff, Erhardt; Hersey, Scott; Linder, Ben; Taha, Kofi, Johansen, Elizabeth",T 3:30-6:30pm; R 3:30-5:30pm,Weissman Foundry,4,15,"yes, large",,DSN Depth
DSN,ENGR3299,01,ENGR3299: Special Topics in Engineering Design: Introduction to Immersive Experience Design,"Pearson, Tom",TF 9-12:30pm,AC326,4,28,"yes, small",,Design Depth
E:C,ENGR2510,01,ENGR2510: Software Design,"Hill, Benjamin",TF 1:30-3:10pm,AC318,4,24,"yes, small",,E:C Requirement and ECE Requirement
E:C,ENGR3520,01,ENGR3520: Foundations of Computer Science,"Pucella, Riccardo",T 3:20-5:50pm,AC326,4,32,"yes, small",,E:C Requirement
E:C,ENGR3540,01,ENGR3540: Complexity Science,"Downey, Allen",TF 10:50-12:30pm,AC417,4,30,"yes, small",,E:C Elective
ECE,ENGR3410,01,ENGR3410: Computer Architecture,"Hill, Benjamin",TF 9-10:40am,AC304,4,32,"yes, small",,"ECE Requirement and
E:C Elective"
ECE,ENGR3420,01,ENGR3420: Introduction to Analog and Digital Communication,"Govindasamy, Siddhartan",MR 10:50-12:30pm,AC304,4,24,"yes, small",,
ENGR,ENGR1330,01,ENGR1330: Fundamentals of Machine Shop Operations,"Andruskiewicz, Bruce",W 1-5:00pm,Machine Shop,4,6,"yes, small",,Elective
ENGR,ENGR2110,01,ENGR2110: Principles of Engineering,"Govindasamy, Siddhartan; Hoover, Aaron; Millner, Amon; Reifel, Stan",TF 9-10:40am,AC306,4,25,"yes, small",,Engineering Foundation
